Country,Income group,Development category,UN region,Commodity,total metric tons,retrieved
Spain,high-income,developed,Western Europe and Others,Sunflower seed,"26,750","01/05/2023, 16:38:30"
Spain,high-income,developed,Western Europe and Others,Wheat,"1,108,013","01/05/2023, 16:38:30"
Sudan,low-income,developing,Africa,Wheat,"65,340","01/05/2023, 16:38:30"
The Netherlands,high-income,developed,Western Europe and Others,Corn,"559,178","01/05/2023, 16:38:30"
The Netherlands,high-income,developed,Western Europe and Others,Rapeseed,"277,611","01/05/2023, 16:38:30"
The Netherlands,high-income,developed,Western Europe and Others,Soya beans,"73,486","01/05/2023, 16:38:30"
The Netherlands,high-income,developed,Western Europe and Others,Sunflower meal,"18,500","01/05/2023, 16:38:30"
The Netherlands,high-income,developed,Western Europe and Others,Sunflower oil,"10,200","01/05/2023, 16:38:30"
The Netherlands,high-income,developed,Western Europe and Others,Sunflower seed,"10,600","01/05/2023, 16:38:30"
Tunisia,lower-middle income,developing,Africa,Barley,"23,500","01/05/2023, 16:38:30"
Tunisia,lower-middle income,developing,Africa,Corn,"176,398","01/05/2023, 16:38:30"
Tunisia,lower-middle income,developing,Africa,Soya oil,"5,170","01/05/2023, 16:38:30"
Tunisia,lower-middle income,developing,Africa,Vegetable oil,"3,300","01/05/2023, 16:38:30"
Tunisia,lower-middle income,developing,Africa,Wheat,"170,150","01/05/2023, 16:38:30"
Türkiye,lower-middle income,developing,Asia-Pacific,Corn,"1,966","01/05/2023, 16:38:30"
Türkiye,lower-middle income,developing,Asia-Pacific,Wheat,"2,959","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Barley,"61,400","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Corn,"627,206","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Mixed,"2,000","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Peas,"37,420","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Rapeseed,"9,500","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Soya beans,"101,536","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Sunflower meal,"20,518","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Sunflower oil,"166,646","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Sunflower seed,"56,955","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Wheat,"819,327","01/05/2023, 16:38:30"
Türkiye,upper-middle-income,developing,Asia-Pacific,Wheat bran pellets,"2,800","01/05/2023, 16:38:30"
United Arab Emirates,high-income,developing,Asia-Pacific,Sunflower oil,"11,900","01/05/2023, 16:38:30"
United Kingdom,high-income,developed,Western Europe and Others,Rapeseed,"117,791","01/05/2023, 16:38:30"
United Kingdom,high-income,developed,Western Europe and Others,Sunflower oil,"18,515","01/05/2023, 16:38:30"
Viet Nam,lower-middle income,developing,Asia-Pacific,Wheat,"116,789","01/05/2023, 16:38:30"
Yemen,low-income,developing,Asia-Pacific,Wheat,"152,318","01/05/2023, 16:38:30"
