RefugeesDate,NoRefugees,retrieved
2022-10-11,7678757,"01/05/2023, 16:38:37"
2022-10-12,7678820,"01/05/2023, 16:38:37"
2022-10-14,7680308,"01/05/2023, 16:38:37"
2022-10-16,7681929,"01/05/2023, 16:38:37"
2022-10-17,7696281,"01/05/2023, 16:38:37"
2022-10-18,7710024,"01/05/2023, 16:38:37"
2022-10-19,7710924,"01/05/2023, 16:38:37"
2022-10-23,7713382,"01/05/2023, 16:38:37"
2022-10-24,7736980,"01/05/2023, 16:38:37"
2022-10-25,7753069,"01/05/2023, 16:38:37"
2022-10-26,7753073,"01/05/2023, 16:38:37"
2022-10-27,7753465,"01/05/2023, 16:38:37"
2022-10-28,7754773,"01/05/2023, 16:38:37"
2022-10-30,7758102,"01/05/2023, 16:38:37"
2022-10-31,7777423,"01/05/2023, 16:38:37"
2022-11-01,7785514,"01/05/2023, 16:38:37"
2022-11-06,7786492,"01/05/2023, 16:38:37"
2022-11-07,7788194,"01/05/2023, 16:38:37"
2022-11-08,7824440,"01/05/2023, 16:38:37"
2022-11-11,7824459,"01/05/2023, 16:38:37"
2022-11-13,7825734,"01/05/2023, 16:38:37"
2022-11-14,7827555,"01/05/2023, 16:38:37"
2022-11-15,7843714,"01/05/2023, 16:38:37"
2022-11-20,7845684,"01/05/2023, 16:38:37"
2022-11-21,7847087,"01/05/2023, 16:38:37"
2022-11-22,7867219,"01/05/2023, 16:38:37"
2022-11-25,7873179,"01/05/2023, 16:38:37"
2022-11-27,7876645,"01/05/2023, 16:38:37"
2022-11-29,7899537,"01/05/2023, 16:38:37"
2022-11-30,7902489,"01/05/2023, 16:38:37"
2022-12-04,7906066,"01/05/2023, 16:38:37"
2022-12-05,7906463,"01/05/2023, 16:38:37"
2022-12-06,7838453,"01/05/2023, 16:38:37"
2022-12-10,7841172,"01/05/2023, 16:38:37"
2022-12-12,7844654,"01/05/2023, 16:38:37"
2022-12-13,7840693,"01/05/2023, 16:38:37"
2022-12-18,7842997,"01/05/2023, 16:38:37"
2022-12-19,7845182,"01/05/2023, 16:38:37"
2022-12-20,7864898,"01/05/2023, 16:38:37"
2022-12-21,7865266,"01/05/2023, 16:38:37"
2022-12-22,7877290,"01/05/2023, 16:38:37"
2022-12-23,7885815,"01/05/2023, 16:38:37"
2022-12-25,7890370,"01/05/2023, 16:38:37"
2022-12-26,7894737,"01/05/2023, 16:38:37"
2022-12-27,7896090,"01/05/2023, 16:38:37"
2022-12-28,7900535,"01/05/2023, 16:38:37"
2022-12-29,7900852,"01/05/2023, 16:38:37"
2022-12-31,7909138,"01/05/2023, 16:38:37"
2023-01-01,7912519,"01/05/2023, 16:38:37"
2023-01-02,7913567,"01/05/2023, 16:38:37"
2023-01-03,7915287,"01/05/2023, 16:38:37"
