Macro region,IDP estimation,retrieved
Kyiv,626000,"11/03/2022, 23:06:23"
East,1923000,"11/03/2022, 23:06:23"
South,605000,"11/03/2022, 23:06:23"
Center,1102000,"11/03/2022, 23:06:23"
North,821000,"11/03/2022, 23:06:23"
West,1166000,"11/03/2022, 23:06:23"
