iso3,countryname,Population,NoRefugees,RefugeesDate,TonnageWheatToLowerIncome,PercentWheatToLowerIncome,NumberOfVoyages,TonnageOfCommodities,IDP estimation,CiviliansKilled,CiviliansInjured,AttacksOnEducation,AttacksOnHealthcare,OrgCount,PeopleReached,InNeed,RequiredHRPFunding,HRPFunding,HRPPercentFunded,OtherPlans,RequiredOtherPlansFunding,OtherPlansFunding,OtherPlansPercentFunded,UHFFunding,CBPFFunding,CERFFunding,retrieved
UKR,Ukraine,43792855,,,2079650,0.4429993891,626,16787257,5914000,6919,11075,2528,747,707,13852942,17700000,,,,Ukraine Flash Appeal 2022,4292463880,3358313482,0.7824,223552734,191609878.6,60503889,"01/05/2023, 16:38:49"
POL,Poland,37747124,1553707,2022-12-31,,,,,,,,,,,,,,,,Ukraine Situation Regional Refugee Response Plan 2022,,304634513,,,,,"01/05/2023, 16:38:49"
HUN,Hungary,9709891,33316,2023-01-03,,,,,,,,,,,,,,,,Ukraine Situation Regional Refugee Response Plan 2022,,32254290,,,,,"01/05/2023, 16:38:49"
SVK,Slovakia,5447247,105205,2023-01-02,,,,,,,,,,,,,,,,Ukraine Situation Regional Refugee Response Plan 2022,,71499717,,,,,"01/05/2023, 16:38:49"
ROU,Romania,19119880,106786,2023-01-01,,,,,,,,,,,,,,,,Ukraine Situation Regional Refugee Response Plan 2022,,117065555,,,,,"01/05/2023, 16:38:49"
MDA,Republic of Moldova,2615199,102103,2023-01-01,,,,,,,,,,,,,,,,Ukraine Situation Regional Refugee Response Plan 2022,,175953793,,,,,"01/05/2023, 16:38:49"
BLR,Belarus,9340314,17787,2022-12-20,,,,,,,,,,,,,,,,,,,,,,,"01/05/2023, 16:38:49"
RUS,Russian Federation,143449286,2852395,2022-10-03,,,,,,,,,,,,,,,,,,,,,,,"01/05/2023, 16:38:49"
