"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
Volyn,,,22.161,0,0,18.0252,37.5756,18.0914,21.3284,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,18.6674,0,0,16.6173,33.6331,0,0.0243,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,22.855,0,0,18.3452,37.9865,18.0914,36.0049,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,23.2989,0,0,18.662,38.7044,0,36.0049,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,17.3427,0,0,14.4485,28.7644,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,18.9133,0,0,0,20.3234,18.0914,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,22.3412,0,0,18.2093,37.562,18.0914,21.3284,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,18.6005,0,0,16.6173,33.3986,0,0.0243,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,23.0921,0,0,18.5774,37.9865,18.0914,36.0049,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,23.3227,0,0,18.686,38.7044,0,36.0049,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,19.7682,0,0,16.8963,28.7644,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,18.9133,0,0,0,20.3234,18.0914,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,6.3376,0,0,4.8237,44.2226,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,44.2226,0,0,0,44.2226,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,4.8237,0,0,4.8237,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,2.51,0,0,2.51,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,5.0287,0,0,5.0287,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
Dnipropetrovsk,,,22.2455,26.0139,0,18.283,36.3175,72.5251,36.0519,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,22.3983,26.0139,0,16.1372,37.0241,72.5251,37.8979,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,22.2197,0,0,18.6024,36.1449,0,35.9617,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,23.089,0,0,18.8629,36.3896,0,35.9617,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,19.1905,0,0,17.8652,35.6548,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,15.6611,0,0,6,17.5536,0,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,22.7625,26.0139,0,18.8008,36.3073,72.5251,36.0506,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,22.3234,26.0139,0,16.1372,36.9693,72.5251,37.988,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,22.8394,0,0,19.2164,36.1477,0,35.9617,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,23.7935,0,0,19.5743,36.3896,0,35.9617,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,19.5295,0,0,18.1942,35.6548,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,17.6579,0,0,0,17.6579,0,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,6.4895,0,0,5.8468,40.0748,0,36.5,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,41.0423,0,0,0,41.0423,0,36.5,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,5.8473,0,0,5.8468,6.8559,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,5.7333,0,0,5.7333,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,6.4458,0,0,6.4458,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,6.0402,0,0,6,6.8559,0,0,,,,,,,,"11/03/2022, 23:07:51"
Donetsk,,,34.997,0,0,15.5256,39.7459,0,35.9982,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,41.5027,0,0,12.84,42.2655,0,38,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,33.174,0,0,15.6056,38.8365,0,35.9923,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,33.8732,0,0,16.3061,38.8434,0,35.9923,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,18.938,0,0,11.1906,43.8825,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,14.2264,0,0,0,14.2264,0,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,34.9969,0,0,15.5256,39.7458,0,35.9923,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,41.5026,0,0,12.84,42.2654,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,33.174,0,0,15.6056,38.8365,0,35.9923,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,33.8732,0,0,16.3061,38.8434,0,35.9923,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,18.938,0,0,11.1906,43.8825,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,14.2264,0,0,0,14.2264,0,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,43.0706,0,0,0,43.0706,0,38,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,43.0706,0,0,0,43.0706,0,38,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
Zhytomyr,,,27.9432,0,0,17.4931,36.8623,74,36.3409,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,21.6208,0,0,18.303,35.9672,74,36.5,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,30.8708,0,0,16.4696,36.9731,0,36.3371,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,33.9456,0,0,17.6656,37.5785,0,36.3371,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,19.5343,0,0,15.354,31.3184,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,17.1818,0,0,0,17.1818,0,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,28.051,0,0,17.6389,36.8592,74,36.3371,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,21.5451,0,0,18.303,35.9165,74,0,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,31.073,0,0,16.7773,36.9731,0,36.3371,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,34.2336,0,0,18.39,37.5785,0,36.3371,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,19.5343,0,0,15.354,31.3184,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,17.1818,0,0,0,17.1818,0,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,12.0804,0,0,4.95,37.9856,0,36.5,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,37.9856,0,0,0,37.9856,0,36.5,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,4.95,0,0,4.95,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,4.95,0,0,4.95,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
Zakarpattia,,,27.4793,0,20,16.7026,36.7453,20.3379,36.3895,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,21.5982,0,20,18.0484,33.8187,20.3379,36.7836,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,29.9583,0,0,15.3894,37.1573,0,36.0508,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,32.4434,0,0,16.0798,38.7062,0,36.0508,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,18.8955,0,0,13.8951,26.6205,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,17.9717,0,0,0,17.9717,0,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,28.5801,0,20,17.9882,36.7454,20.3379,36.3732,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,22.0919,0,20,18.5479,33.8143,20.3379,36.8849,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,31.3772,0,0,17.3619,37.1573,0,36.0508,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,33.3131,0,0,17.4991,38.7062,0,36.0508,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,21.575,0,0,16.9906,26.6205,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,17.9717,0,0,0,17.9717,0,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,5.8,0,0,5.7321,36.5525,0,36.5058,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,7.225,0,0,6.9043,36.5525,0,36.5058,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,5.4354,0,0,5.4354,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,4.471,0,0,4.471,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,6.2262,0,0,6.2262,0,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
Zaporizhzhia,,,20.0951,30,0,13.44,39.4526,0,36.5036,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,28.0144,30,0,15.3685,42.1751,0,38.1371,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,19.0758,0,0,13.2702,38.7277,0,36.0965,,,,,,,,"11/03/2022, 23:07:51"
