"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
Volyn,,,22.0519,21.99,0,17.8311,37.1844,17.5316,26.7662,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,18.7213,0,0,16.2648,36.4595,0,0.2447,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,22.7269,21.99,0,18.198,37.2597,17.5316,36.0024,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,22.9648,21.99,0,18.1618,38.1389,0,36.0024,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,20.5503,0,0,18.5835,29.6678,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,13.7774,0,0,0,12.0006,17.5316,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,22.758,21.99,0,18.5287,37.1844,17.5316,26.7662,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,18.7211,0,0,16.2648,36.4595,0,0.2447,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,23.6156,21.99,0,19.0934,37.2597,17.5316,36.0024,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,23.9524,21.99,0,19.1447,38.1389,0,36.0024,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,20.5503,0,0,18.5835,29.6678,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,13.7774,0,0,0,12.0006,17.5316,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,4.3444,0,0,4.3433,37.2617,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,37.2617,0,0,0,37.2617,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,4.3433,0,0,4.3433,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,4.3433,0,0,4.3433,0,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
Dnipropetrovsk,,,24.5965,25.4001,0,19.1357,35.4011,60.3105,36.494,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,22.3008,25,0,16.9127,38.1045,60.3105,37.8876,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,25.328,26.8344,0,19.9614,34.7982,0,36.1787,,,,,,,,"01/05/2023, 16:39:11"
