RefugeesDate,NoRefugees,retrieved
2022-09-13,7288155,"11/03/2022, 23:06:20"
2022-09-14,7300371,"11/03/2022, 23:06:20"
2022-09-15,7312699,"11/03/2022, 23:06:20"
2022-09-16,7326447,"11/03/2022, 23:06:20"
2022-09-17,7339526,"11/03/2022, 23:06:20"
2022-09-18,7352374,"11/03/2022, 23:06:20"
2022-09-19,7381378,"11/03/2022, 23:06:20"
2022-09-20,7399966,"11/03/2022, 23:06:20"
2022-09-21,7399972,"11/03/2022, 23:06:20"
2022-09-22,7400481,"11/03/2022, 23:06:20"
2022-09-23,7401475,"11/03/2022, 23:06:20"
2022-09-24,7401475,"11/03/2022, 23:06:20"
2022-09-25,7403070,"11/03/2022, 23:06:20"
2022-09-26,7517893,"11/03/2022, 23:06:20"
2022-09-27,7533843,"11/03/2022, 23:06:20"
2022-09-28,7533851,"11/03/2022, 23:06:20"
2022-09-30,7538397,"11/03/2022, 23:06:20"
2022-10-02,7540367,"11/03/2022, 23:06:20"
2022-10-03,7638774,"11/03/2022, 23:06:20"
2022-10-04,7647426,"11/03/2022, 23:06:20"
2022-10-07,7647769,"11/03/2022, 23:06:20"
2022-10-08,7652542,"11/03/2022, 23:06:20"
2022-10-09,7653676,"11/03/2022, 23:06:20"
2022-10-10,7676357,"11/03/2022, 23:06:20"
2022-10-11,7678757,"11/03/2022, 23:06:20"
2022-10-12,7678820,"11/03/2022, 23:06:20"
2022-10-14,7680308,"11/03/2022, 23:06:20"
2022-10-16,7681929,"11/03/2022, 23:06:20"
2022-10-17,7696281,"11/03/2022, 23:06:20"
2022-10-18,7710024,"11/03/2022, 23:06:20"
2022-10-19,7710924,"11/03/2022, 23:06:20"
2022-10-23,7713382,"11/03/2022, 23:06:20"
2022-10-24,7736980,"11/03/2022, 23:06:20"
2022-10-25,7753069,"11/03/2022, 23:06:20"
2022-10-26,7753073,"11/03/2022, 23:06:20"
2022-10-27,7753465,"11/03/2022, 23:06:20"
2022-10-28,7754773,"11/03/2022, 23:06:20"
2022-10-30,7758102,"11/03/2022, 23:06:20"
2022-10-31,7777423,"11/03/2022, 23:06:20"
2022-11-01,7786195,"11/03/2022, 23:06:20"
